System Name,Managed State,Tags,IP address,User Name,Last Communication
OCS-L-004086452,Managed,"EEPC Apply, Laptop, Workstation",10.55.26.133,N/A,3/11/20 4:36:09 PM EDT
OCS-L-004086453,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.134,N/A,3/5/20 5:12:15 PM EST
OCS-L-004086455,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.55.26.134,N/A,3/11/20 4:23:38 PM EDT
OCS-L-004086457,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.55.26.135,N/A,3/11/20 4:54:41 PM EDT
OCS-L-004086461,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.49.33.119,N/A,3/5/20 2:53:03 PM EST
OCS-L-004086466,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.49.33.92,hollis.europe,3/11/20 3:50:46 PM EDT
OCS-L-004173554,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.100,Steve.Soherr,3/11/20 5:04:02 PM EDT
OCS-L-004173650,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.1.147,Kyle.Ward,3/11/20 4:00:33 PM EDT
OCS-L-004181922,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.44,N/A,3/11/20 5:10:18 PM EDT
OCS-L-004181924,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.49,nick.perugini,3/11/20 12:14:00 PM EDT
OCS-L-004181925,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.37,Alexander.Kurapov,3/11/20 4:32:58 PM EDT
OCS-L-004181926,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.216.146,Taylor.Krabiel,3/11/20 4:15:16 PM EDT
OCS-L-004181928,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.86.27,Jill.Stoddard,3/10/20 7:24:12 PM EDT
OCS-L-004181929,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.1.9,nrt.la,3/11/20 5:08:32 PM EDT
OCS-L-004181930,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.0.249,Joseph.Berry,3/11/20 4:12:17 PM EDT
OCS-L-004181931,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.149,ghani.saouti,3/11/20 3:38:53 PM EDT
OCS-L-004181932,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.1.25,Louis.Licate,3/10/20 12:34:00 PM EDT
OCS-L-004181934,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.90,Quentin.Stubbs,1/28/20 2:59:46 PM EST
OCS-L-004181935,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.132,Erich.Frey,3/11/20 3:49:17 PM EDT
OCS-L-004181936,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.18,Karen.Gouws,3/11/20 3:42:12 PM EDT
OCS-L-004181937,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.87,Samita.Watson,3/11/20 1:33:51 PM EDT
OCS-L-004181938,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.42.209,Kathryn.Ries,3/11/20 4:33:35 PM EDT
OCS-L-004181939,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.35.58,gerald.koehl,3/10/20 7:18:02 PM EDT
OCS-L-004181940,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.121,brian.mohr,3/10/20 3:38:05 PM EDT
OCS-L-004181941,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.163,mark.griffin,3/11/20 5:09:59 PM EDT
OCS-L-004181942,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.1,Philip.Fernandez,3/11/20 5:03:57 PM EDT
OCS-L-004181944,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.75,N/A,3/11/20 4:33:47 PM EDT
OCS-L-004181945,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.67,John.Celmer,3/11/20 4:57:21 PM EDT
OCS-L-004181950,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.125,Naveen.Mahato,3/11/20 5:00:51 PM EDT
OCS-L-004181951,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.29,John.Doroba,3/11/20 2:34:31 PM EDT
OCS-L-004181952,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.56,N/A,3/11/20 4:34:45 PM EDT
OCS-L-004181953,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.8,Shachak.Peeri,3/11/20 4:33:19 PM EDT
OCS-L-004181954,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.41.69,Wilbert.Battle,3/11/20 2:03:53 PM EDT
OCS-L-004181956,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.49.33.102,Edward.Owens,3/11/20 4:34:36 PM EDT
OCS-L-004181957,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.49.33.104,N/A,3/11/20 4:21:57 PM EDT
OCS-L-004181958,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.33.11,jeffery.marshall,3/11/20 4:33:44 PM EDT
OCS-L-004181959,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.49.33.107,N/A,3/5/20 7:50:01 AM EST
OCS-L-004181960,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.49.33.84,N/A,3/11/20 4:33:42 PM EDT
OCS-L-004181961,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.33.18,Vanessa.Miller,3/5/20 1:37:43 PM EST
OCS-L-004181962,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.1.152,Kolleen.Mortimer,3/11/20 3:45:11 PM EDT
OCS-L-004181999,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.179,christie.ence,3/11/20 5:10:45 PM EDT
OCS-L-004182000,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.126,Joseph.Gallegos,3/11/20 1:01:28 PM EDT
OCS-L-004182001,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.73,Andres.Garrido,3/11/20 4:03:10 PM EDT
OCS-L-004182002,Managed,"EEPC Apply, Escalated, Laptop, Workstation",172.31.13.221,Nicholas.Szelak,3/11/20 3:33:44 PM EDT
OCS-L-004182003,Managed,"EEPC Apply, Escalated, Laptop, Workstation",192.168.1.166,Alexanderia.Allison,3/11/20 5:10:21 PM EDT
OCS-L-004182004,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.52.123,Pravin.Shrestha,3/11/20 3:37:47 PM EDT
OCS-L-004182005,Managed,"EEPC Apply, Escalated, Laptop, Workstation",10.111.49.1,Carson.Gray,3/11/20 2:04:19 PM EDT
